baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
yhbS	667.705793647445	-3.39305187851705	0.213641389636699	-15.881996855979	8.44466364259996e-57	2.83186315892684e-55
ybbC	400.604624930836	4.80584193493601	0.302616347652333	15.880972631582	8.58369878660116e-57	2.85668096738931e-55
yhbX	389.086889809782	4.26704573322867	0.268726375424129	15.8787753025509	8.88971969213107e-57	2.93628109831066e-55
ydeR	227.946159211758	6.17225331118825	0.38927388071315	15.8558115943476	1.28161151617769e-56	4.20158163475268e-55
gcvP	2806.59001924243	-4.12773454098538	0.260526523885352	-15.8438168959789	1.55112874425127e-56	5.04748783221914e-55
ymgC	388.541792416716	6.81042100218934	0.430083000183089	15.8351318217416	1.78085561370408e-56	5.75242552279559e-55
nuoG	3456.46975353181	-3.34191554058741	0.211627601882609	-15.7914918038016	3.56058622554271e-56	1.14172666341672e-54
nanT	442.65666957669	-5.37785643664293	0.341874127589898	-15.7305160076169	9.34464268805739e-56	2.97471125569827e-54
LshCas13a	104400.081071574	3.97812801874605	0.253082709895471	15.7186874614592	1.12632886948178e-55	3.55968541268595e-54
tar	2551.57135314288	-2.38063913706198	0.15170666110595	-15.6923837075246	1.70529752187709e-55	5.3509800097186e-54
nikE	435.156212571794	-4.29736400713493	0.274704893172246	-15.6435655641576	3.67558365762601e-55	1.14516588708873e-53
yfcV	268.821599245854	7.04076150270042	0.451123150081869	15.6071828755023	6.50463374459321e-55	2.01231380563366e-53
hybA	512.120686805791	-3.83142538309434	0.2456211681745	-15.5989217524295	7.40339541600745e-55	2.27434378059586e-53
yqiI	213.020696772578	4.97652480636	0.320820408723668	15.511871037626	2.88352319591454e-54	8.77823892045587e-53
tpiA	2703.61196460964	-2.50612227623394	0.161564791673015	-15.5115619577933	2.8974382960758e-54	8.77823892045587e-53
lysY	399.645456040729	3.5717225218208	0.230455398818104	15.4985413235639	3.54857292106492e-54	1.06773156453686e-52
gspC	222.995435888423	6.29379306911492	0.407243299712805	15.4546264445686	7.02174758431097e-54	2.09840388693048e-52
torY	587.130772466498	5.90431278747797	0.382132432867678	15.4509596141045	7.43285656307664e-54	2.20625262713484e-52
hybB	389.162605442806	-3.73405335318372	0.242842714585205	-15.3764273289474	2.35593704879951e-53	6.94606137944715e-52
yjiA	946.293560006585	-4.09409063740446	0.267331134472438	-15.3146794722729	6.1011906422205e-53	1.78683536608498e-51
hypE	397.100557091179	-4.19224675370227	0.273897517287887	-15.3058954137795	6.98342400442854e-53	2.03166765903673e-51
ymgA	230.336584757695	4.50617011890667	0.294980490575215	15.2761632137759	1.10243164322282e-52	3.18617250570912e-51
puuC	212.439648796126	4.66550783791869	0.305998670559675	15.2468238812457	1.72838360086485e-52	4.96260729320216e-51
srlR	476.079471067929	-4.08333025740484	0.268016171661936	-15.2353875965193	2.05902443224821e-52	5.87356774731582e-51
glpF	1164.23468479065	-4.72048618579468	0.310288310844399	-15.2132259605547	2.88946457063787e-52	8.18930184439494e-51
nuoF	1141.9667183736	-3.11305691050716	0.204749999569653	-15.2041851870585	3.31732618530852e-52	9.34167559747458e-51
flgH	772.641461939142	-3.56745978695567	0.23497927441	-15.1820189074677	4.65238613337686e-52	1.30177912636462e-50
hybO	683.440920163314	-3.15688818881501	0.208242862271796	-15.1596465510289	6.54204405185679e-52	1.81893667846879e-50
nuoH	916.556925852446	-3.39744201254719	0.224474772557281	-15.1350727471179	9.50755154357503e-52	2.62683483842296e-50
yhbU	229.513364535364	-5.78175698912167	0.382904491861343	-15.0997366497736	1.62581429794393e-51	4.46387638179231e-50
